ID,Stakeholder,Insurer,Value Created,Sahreholding pattern,City,Brokers,Premium,Date,Premium,Profitability,Cost ratio,Assets under management,Educational qualifications,People,Policy tenuer ,Gender,Age 
3001,Investors,Lives cover,10000,Promotors,Pune,Rushi,New premium,1/1/2014,Renewal premium,Profit after tax,Total cost ratio,Equity,Graduate,Employee adoption,More than 5 years,Male ,30
3002,Customers,Employee,20000,DII,Mumbai,Krishna,Indivisual rated,1/2/2014,Single premium,Net worth,Commission ratio,Debt,Masters,CIF adoption,1 to 3 years,Female,40
3004,Distributors,Corporate agent,45000,FII,Jhalna,Gita,New premium,1/3/2014,First year premium,Profit after tax,Opex ratio,Debt,CA/CS,LM adoption,3 to 5 years,Male ,50
3005,People,Broker,35000,Retail,Pune,Puja,New premium,1/4/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Proessinal qualification,LM adoption,Less than 1 year,Male ,25
3007,Environment,Partner branchaes,5436,Promotors,Pune,Sheela,New premium,1/5/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,64
3008,Community,Bancassurance partners,43466,Promotors,Pune,Rita,New premium,1/6/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,67
3010,Premium,Lives cover,53432,Promotors,Pune,Mina,New premium,1/7/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,32
3011,Investors,Lives cover,50000,Promotors,Pune,Rushi,New premium,1/8/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,58
3013,Investors,Lives cover,54916,Promotors,Pune,Krishna,New premium,1/9/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3014,Investors,Lives cover,59833,Promotors,Pune,Gita,New premium,1/10/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3016,Investors,Lives cover,64749,Promotors,Pune,Puja,New premium,1/11/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3017,Investors,Lives cover,69666,Promotors,Pune,Sheela,New premium,1/12/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3019,Investors,Lives cover,74583,Promotors,Pune,Rita,New premium,1/13/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3020,Investors,Lives cover,79499,Promotors,Pune,Mina,New premium,1/14/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3022,Investors,Lives cover,84416,Promotors,Pune,Rushi,New premium,1/15/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3023,Investors,Lives cover,89332,Promotors,Pune,Krishna,New premium,1/16/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3025,Investors,Lives cover,94249,Promotors,Pune,Gita,New premium,1/17/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3026,Investors,Lives cover,99165,Promotors,Pune,Puja,New premium,1/18/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3028,Investors,Lives cover,104082,Promotors,Pune,Sheela,New premium,1/19/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3029,Investors,Lives cover,108999,Promotors,Pune,Rita,New premium,1/20/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3031,Investors,Lives cover,113915,Promotors,Pune,Mina,New premium,1/21/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3032,Investors,Lives cover,118832,Promotors,Pune,Rushi,New premium,1/22/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3034,Investors,Lives cover,123748,Promotors,Pune,Krishna,New premium,1/23/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3035,Investors,Lives cover,128665,Promotors,Pune,Gita,New premium,1/24/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3037,Investors,Lives cover,133581,Promotors,Pune,Rushi,New premium,1/25/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3038,Investors,Lives cover,138498,Promotors,Pune,Krishna,New premium,1/26/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3040,Investors,Lives cover,143415,Promotors,Pune,Gita,New premium,1/27/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3041,Investors,Lives cover,148331,Promotors,Pune,Puja,New premium,1/28/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3043,Investors,Lives cover,153248,Promotors,Pune,Sheela,New premium,1/29/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3044,Investors,Lives cover,158164,Promotors,Pune,Rita,New premium,1/30/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3046,Investors,Lives cover,163081,Promotors,Pune,Mina,New premium,1/31/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3047,Investors,Lives cover,167997,Promotors,Pune,Rushi,New premium,2/1/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3049,Investors,Lives cover,172914,Promotors,Pune,Krishna,New premium,2/2/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3050,Investors,Lives cover,177831,Promotors,Pune,Gita,New premium,2/3/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3052,Investors,Lives cover,182747,Promotors,Pune,Puja,New premium,2/4/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3053,Investors,Lives cover,187664,Promotors,Pune,Sheela,New premium,2/5/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3055,Investors,Lives cover,192580,Promotors,Pune,Rita,New premium,2/6/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3056,Investors,Lives cover,197497,Promotors,Pune,Mina,New premium,2/7/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3058,Investors,Lives cover,202413,Promotors,Pune,Rushi,New premium,2/8/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3059,Investors,Lives cover,207330,Promotors,Pune,Krishna,New premium,2/9/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3061,Investors,Lives cover,212247,Promotors,Pune,Gita,New premium,2/10/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3062,Investors,Lives cover,217163,Promotors,Pune,Puja,New premium,2/11/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3064,Investors,Lives cover,222080,Promotors,Pune,Sheela,New premium,2/12/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3065,Investors,Lives cover,226996,Promotors,Pune,Rita,New premium,2/13/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3067,Investors,Lives cover,231913,Promotors,Pune,Mina,New premium,2/14/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3068,Investors,Lives cover,236829,Promotors,Pune,Rushi,New premium,2/15/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3070,Investors,Lives cover,241746,Promotors,Pune,Krishna,New premium,2/16/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3071,Investors,Lives cover,246663,Promotors,Pune,Gita,New premium,2/17/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3073,Investors,Lives cover,251579,Promotors,Pune,Rushi,New premium,2/18/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3074,Investors,Lives cover,256496,Promotors,Pune,Krishna,New premium,2/19/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3076,Investors,Lives cover,261412,Promotors,Pune,Gita,New premium,2/20/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3077,Investors,Lives cover,266329,Promotors,Pune,Puja,New premium,2/21/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3079,Investors,Lives cover,271245,Promotors,Pune,Sheela,New premium,2/22/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3080,Investors,Lives cover,276162,Promotors,Pune,Rita,New premium,2/23/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3082,Investors,Lives cover,281079,Promotors,Pune,Mina,New premium,2/24/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3083,Investors,Lives cover,285995,Promotors,Pune,Rushi,New premium,2/25/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3085,Investors,Lives cover,290912,Promotors,Pune,Krishna,New premium,2/26/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3086,Investors,Lives cover,295828,Promotors,Pune,Gita,New premium,2/27/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
3088,Investors,Lives cover,300745,Promotors,Pune,Puja,New premium,2/28/2014,Renewal premium,Profit after tax,Total cost ratio,Debt,Graduate,LM adoption,More than 5 years,Male ,15
